item	genre
318	Crime
318	Drama
2571	Action
2571	Sci-Fi
2571	Thriller
2959	Action
2959	Crime
2959	Drama
2959	Thriller
296	Comedy
296	Crime
296	Drama
296	Thriller
356	Comedy
356	Drama
356	Romance
356	War
4993	Adventure
4993	Fantasy
7153	Action
7153	Adventure
7153	Drama
7153	Fantasy
5952	Adventure
5952	Fantasy
593	Crime
593	Horror
593	Thriller
2858	Comedy
2858	Drama
4226	Mystery
4226	Thriller
58559	Action
58559	Crime
58559	Drama
260	Action
260	Adventure
260	Sci-Fi
50	Crime
50	Mystery
50	Thriller
858	Crime
858	Drama
1198	Action
1198	Adventure
1196	Action
1196	Adventure
1196	Sci-Fi
527	Drama
527	War
2762	Drama
2762	Horror
2762	Mystery
7361	Drama
7361	Romance
7361	Sci-Fi
47	Mystery
47	Thriller
4306	Adventure
4306	Animation
4306	Children
4306	Comedy
4306	Fantasy
4306	Romance
33794	Action
33794	Crime
4973	Comedy
4973	Romance
1270	Adventure
1270	Comedy
1270	Sci-Fi
3578	Action
3578	Adventure
3578	Drama
1210	Action
1210	Adventure
1210	Sci-Fi
6539	Action
6539	Adventure
6539	Comedy
6539	Fantasy
110	Action
110	Drama
110	War
2329	Crime
2329	Drama
1	Adventure
1	Animation
1	Children
1	Comedy
1	Fantasy
6377	Adventure
6377	Animation
6377	Children
6377	Comedy
2028	Action
2028	Drama
2028	War
1136	Adventure
1136	Comedy
1136	Fantasy
8961	Action
8961	Adventure
8961	Animation
8961	Children
8961	Comedy
6874	Action
6874	Crime
6874	Thriller
480	Action
480	Adventure
480	Sci-Fi
480	Thriller
589	Action
589	Sci-Fi
32	Mystery
32	Sci-Fi
32	Thriller
1193	Drama
4963	Crime
4963	Thriller
4886	Adventure
4886	Animation
4886	Children
4886	Comedy
4886	Fantasy
48516	Crime
48516	Drama
48516	Thriller
4995	Drama
4995	Romance
1089	Crime
1089	Mystery
1089	Thriller
1291	Action
1291	Adventure
1704	Drama
1704	Romance
7438	Action
7438	Drama
7438	Thriller
79132	Action
79132	Crime
79132	Drama
79132	Mystery
79132	Sci-Fi
79132	Thriller
4878	Drama
4878	Mystery
4878	Sci-Fi
4878	Thriller
32587	Action
32587	Crime
32587	Film-Noir
32587	Mystery
32587	Thriller
608	Comedy
608	Crime
608	Drama
608	Thriller
1197	Action
1197	Adventure
1197	Comedy
1197	Fantasy
1197	Romance
1221	Crime
1221	Drama
44191	Action
44191	Sci-Fi
44191	Thriller
1214	Horror
1214	Sci-Fi
5445	Action
5445	Crime
5445	Mystery
5445	Sci-Fi
5445	Thriller
541	Action
