item	title
318	Shawshank Redemption, The (1994)
2571	Matrix, The (1999)
2959	Fight Club (1999)
296	Pulp Fiction (1994)
356	Forrest Gump (1994)
4993	Lord of the Rings: The Fellowship of the Ring, The (2001)
7153	Lord of the Rings: The Return of the King, The (2003)
5952	Lord of the Rings: The Two Towers, The (2002)
593	Silence of the Lambs, The (1991)
2858	American Beauty (1999)
4226	Memento (2000)
58559	Dark Knight, The (2008)
260	Star Wars: Episode IV - A New Hope (1977)
50	Usual Suspects, The (1995)
858	Godfather, The (1972)
1198	Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
1196	Star Wars: Episode V - The Empire Strikes Back (1980)
527	Schindler's List (1993)
2762	Sixth Sense, The (1999)
7361	Eternal Sunshine of the Spotless Mind (2004)
47	Seven (a.k.a. Se7en) (1995)
4306	Shrek (2001)
33794	Batman Begins (2005)
4973	Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)
1270	Back to the Future (1985)
3578	Gladiator (2000)
1210	Star Wars: Episode VI - Return of the Jedi (1983)
6539	Pirates of the Caribbean: The Curse of the Black Pearl (2003)
110	Braveheart (1995)
2329	American History X (1998)
1	Toy Story (1995)
6377	Finding Nemo (2003)
2028	Saving Private Ryan (1998)
1136	Monty Python and the Holy Grail (1975)
8961	Incredibles, The (2004)
6874	Kill Bill: Vol. 1 (2003)
480	Jurassic Park (1993)
589	Terminator 2: Judgment Day (1991)
32	Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
1193	One Flew Over the Cuckoo's Nest (1975)
4963	Ocean's Eleven (2001)
4886	Monsters, Inc. (2001)
48516	Departed, The (2006)
4995	Beautiful Mind, A (2001)
1089	Reservoir Dogs (1992)
1291	Indiana Jones and the Last Crusade (1989)
1704	Good Will Hunting (1997)
7438	Kill Bill: Vol. 2 (2004)
79132	Inception (2010)
4878	Donnie Darko (2001)
32587	Sin City (2005)
608	Fargo (1996)
1197	Princess Bride, The (1987)
1221	Godfather: Part II, The (1974)
44191	V for Vendetta (2006)
1214	Alien (1979)
5445	Minority Report (2002)
541	Blade Runner (1982)
1240	Terminator, The (1984)
1213	Goodfellas (1990)
1265	Groundhog Day (1993)
1682	Truman Show, The (1998)
1036	Die Hard (1988)
5989	Catch Me If You Can (2002)
364	Lion King, The (1994)
3793	X-Men (2000)
150	Apollo 13 (1995)
1527	Fifth Element, The (1997)
6016	City of God (Cidade de Deus) (2002)
5349	Spider-Man (2002)
60069	WALL·E (2008)
293	Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
1258	Shining, The (1980)
2997	Being John Malkovich (1999)
3996	Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)
2502	Office Space (1999)
