item	writer
1237	nm0000005
5147	nm0000005
7327	nm0000005
2068	nm0000005
7396	nm0000005
4422	nm0000005
7939	nm0000005
7938	nm0000005
7941	nm0000005
7937	nm0000005
2131	nm0000005
34155	nm0000005
7936	nm0000005
7940	nm0000005
7577	nm0000005
7942	nm0000005
8405	nm0000005
7328	nm0000005
1251	nm0000019
8154	nm0000019
7234	nm0000019
7089	nm0000019
2351	nm0000019
5304	nm0000019
8848	nm0000019
7067	nm0000019
4283	nm0000019
4282	nm0000019
930	nm0000033
2202	nm0000033
2221	nm0000033
2227	nm0000033
2204	nm0000033
7132	nm0000036
3022	nm0000036
1258	nm0000040
1206	nm0000040
1222	nm0000040
750	nm0000040
924	nm0000040
2712	nm0000040
1178	nm0000040
2729	nm0000040
2730	nm0000040
2726	nm0000040
2727	nm0000040
2019	nm0000041
2951	nm0000041
5291	nm0000041
3030	nm0000041
4327	nm0000041
1217	nm0000041
6669	nm0000041
7766	nm0000041
7925	nm0000041
2905	nm0000041
3091	nm0000041
7926	nm0000041
3470	nm0000041
5498	nm0000041
7924	nm0000041
26064	nm0000041
2344	nm0000041
7919	nm0000041
8740	nm0000041
26222	nm0000041
6270	nm0000041
3066	nm0000041
996	nm0000041
7482	nm0000045
4441	nm0000045
4444	nm0000045
1941	nm0000059
25901	nm0000059
7338	nm0000059
2731	nm0000076
4914	nm0000076
6305	nm0000076
2732	nm0000076
7135	nm0000076
6271	nm0000076
7136	nm0000076
4840	nm0000076
26360	nm0000076
26170	nm0000076
923	nm0000080
1212	nm0000080
1248	nm0000080
25940	nm0000080
5177	nm0000080
25927	nm0000080
6460	nm0000080
3632	nm0000080
33072	nm0000080
30701	nm0000080
2848	nm0000080
26002	nm0000080
1136	nm0000092
1080	nm0000092
6807	nm0000092
1079	nm0000092
2788	nm0000092
1425	nm0000092
108583	nm0000092
6104	nm0000092
101142	nm0000092
1230	nm0000095
41285	nm0000095
1244	nm0000095
86882	nm0000095
60950	nm0000095
1077	nm0000095
6993	nm0000095
2973	nm0000095
7934	nm0000095
2065	nm0000095
348	nm0000095
1078	nm0000095
52	nm0000095
3814	nm0000095
7084	nm0000095
1701	nm0000095
492	nm0000095
2750	nm0000095
5339	nm0000095
7983	nm0000095
3129	nm0000095
3813	nm0000095
7051	nm0000095
1057	nm0000095
57147	nm0000095
2356	nm0000095
32291	nm0000095
3812	nm0000095
1963	nm0000095
3618	nm0000095
4393	nm0000095
4409	nm0000095
46967	nm0000095
6750	nm0000095
103980	nm0000095
80864	nm0000095
2290	nm0000095
6100	nm0000095
4628	nm0000095
6584	nm0000095
4392	nm0000095
69604	nm0000095
5796	nm0000095
4733	nm0000095
5348	nm0000095
95201	nm0000095
113225	nm0000095
1665	nm0000100
52694	nm0000100
65133	nm0000100
2716	nm0000101
1220	nm0000101
2717	nm0000101
435	nm0000101
1772	nm0000101
26555	nm0000101
7102	nm0000101
1527	nm0000108
293	nm0000108
1249	nm0000108
5628	nm0000108
5574	nm0000108
42718	nm0000108
74668	nm0000108
1216	nm0000108
50162	nm0000108
59369	nm0000108
64030	nm0000108
33437	nm0000108
36519	nm0000108
4387	nm0000108
40148	nm0000108
96861	nm0000108
89087	nm0000108
8268	nm0000108
93563	nm0000108
3053	nm0000108
43419	nm0000108
27689	nm0000108
47725	nm0000108
74851	nm0000108
8604	nm0000108
111360	nm0000108
8912	nm0000108
27193	nm0000108
8605	nm0000108
497	nm0000110
1411	nm0000110
1224	nm0000110
1051	nm0000114
55205	nm0000114
589	nm0000116
1240	nm0000116
1200	nm0000116
1721	nm0000116
72998	nm0000116
1127	nm0000116
198	nm0000116
380	nm0000116
2402	nm0000116
1982	nm0000118
1129	nm0000118
3726	nm0000118
1128	nm0000118
54785	nm0000118
26603	nm0000118
4553	nm0000118
26285	nm0000118
1983	nm0000118
2107	nm0000118
4735	nm0000118
891	nm0000118
1984	nm0000118
1986	nm0000118
39400	nm0000118
849	nm0000118
31420	nm0000118
93563	nm0000118
344	nm0000120
77854	nm0000120
3462	nm0000122
1281	nm0000122
3307	nm0000122
3629	nm0000122
3310	nm0000122
3632	nm0000122
3559	nm0000122
8511	nm0000122
3306	nm0000122
7618	nm0000122
39292	nm0000123
89804	nm0000123
108928	nm0000123
1347	nm0000127
5569	nm0000127
50912	nm0000127
5588	nm0000127
1970	nm0000127
6615	nm0000127
1969	nm0000127
366	nm0000127
1971	nm0000127
68941	nm0000127
7930	nm0000127
1972	nm0000127
43932	nm0000127
1973	nm0000127
44397	nm0000127
77798	nm0000127
51937	nm0000127
3481	nm0000131
1500	nm0000131
59594	nm0000131
48304	nm0000154
7318	nm0000154
94985	nm0000154
27002	nm0000158
7502	nm0000158
1042	nm0000158
87522	nm0000158
8638	nm0000160
100714	nm0000160
3526	nm0000165
3259	nm0000165
318	nm0000175
1258	nm0000175
1259	nm0000175
3499	nm0000175
1345	nm0000175
53953	nm0000175
2118	nm0000175
230	nm0000175
56145	nm0000175
2517	nm0000175
27751	nm0000175
3147	nm0000175
3698	nm0000175
2513	nm0000175
1037	nm0000175
6250	nm0000175
3016	nm0000175
2122	nm0000175
26693	nm0000175
2121	nm0000175
3708	nm0000175
7646	nm0000175
31502	nm0000175
26887	nm0000175
2120	nm0000175
742	nm0000175
2787	nm0000175
2119	nm0000175
3017	nm0000175
2320	nm0000175
4815	nm0000175
7347	nm0000175
25923	nm0000180
2927	nm0000180
